question,sentence,sia_score
What is one thing that is absorbed in the GI tract?,Absorption of magnesium occurs in the GI tract.,4.0
rotation cause what?,rotation causes time,4.0
What is formed by water vapor condensing in the air?,Something found in San Francisco is formed by water vapor condensing in the air,4.0
Ethologists study how animals behave in animals',Ethologists usually study how animals behave in the animals' homes.,4.0
What does food consist of?,food consists of carbon,4.0
"When a hemisphere is tilted towards the sun, that hemisphere does what in the sunlight?","When a hemisphere is tilted towards the sun, that hemisphere grows papaya trees in the sunlight.",4.0
What can cause an object's speed to slow?,Pressure can slow the speed of an object.,4.0
What are used for preventing injuries to passengers in vehicles?,seat belts are used for preventing injuries to passengers in vehicles,4.0
passive immunity lasts only as long as the antibodies survive where?,passive immunity lasts only as long as the antibodies survive in blood,4.0
What is aging associated with?,aging is associated with infarction,4.0
What are beaks adapted to?,Beaks are adapted for food that is scavenged.,4.0
What did the dinosaur group dromaeosaurs evolve into?,Dromaeosaurs are a group of dinosaurs that evolved into birds,4.0
Collar cells have _ that trap the particles.,Collar cells have flagella that trap the particles.,4.0
what can cause a population decline?,mortality can cause a population decline,4.0
What conserve body heat with their hair or fur?,Foxes conserve body heat with their hair or fur.,4.0
what can change about leaves during a drought?,leaves can change color under a drought,4.0
Which has a mutualism relationship?,Mutualism is a relationship like that of microbes and mussels in which both species benefit.,4.0
Antibiotics can be used to treat what?,Illness caused by microorganisms can be treated with antibiotics,4.0
How do roundworms have offspring?,roundworms have offspring by laying eggs,4.0
What is life impossible without?,life without nitrogen is impossible,4.0
what gives rise to offspring during the reproduction process?,reproduction is the process by which plants and animals give rise to offspring,4.0
What is the distinguishing feature of monotremes?,Monotremes lay eggs,4.0
what can persist in the circulation for decades?,active immunity can persist in the circulation for decades,4.0
Where does energy enter into in the form of sunlight and chemical compounds?,Energy enters biomes in the form of sunlight or chemical compounds.,4.0
which of the following are known to have complex social behaviors?,Ants have complex social behavior.,4.0
what has a negative impact on the environment?,hydrocarbon emissions have a negative impact on the environment,4.0
"When a plant grows , the size of _   of that plant may increase","when a plant grows , the size of  photosynthetic organs of that plant may increase",4.0
What increases the amount of plant and animal residue in soil?,Decomposition increases the amount of plant and animal residue in soil,4.0
What converts chemical energy into mechanical energy?,cars transform chemical energy into mechanical energy,4.0
crossing two living things with what causes their offspring to have it?,crossing two living things with freckles causes their offspring to have freckles,4.0
Kidneys are a part of what system?,kidneys make up the excretory system.,4.0
What comes with objects absorbing energy?,Absorbing energy causes objects to have the the energy of moving molecules.,4.0
what fossils have to be found in a place to signify the place used to be covered by water?,if fossils of barnacles are found in a place then that place used to be covered by water in the past,4.0
What does burning wood lead to?,Burning wood produces kinetic energy,4.0
What does bamboo require to grow?,bamboo requires water to grow,4.0
What do species rely on to talk?,many species rely on sound,4.0
What can heavy rains damage?,heavy rains can damage homes,4.0
Roundworms reproduce using meiosis and what?,Roundworms reproduce using karyogamy and meiosis.,4.0
What do Coccolithophorids have?,Coccolithophorids have varied life cycles,4.0
What measurement is used for something plants use unsaturated fatty acids to store?,Plants use unsaturated fatty acids to store something measured in joules,4.0
What can a magnet moving in a coil of copper wire cause?,a magnet moving in a coil of copper wire can cause a flow of electric charge,4.0
"When a gas in an open container spreads out, what presents a danger?","When a gas in an open container spreads out, fumes present a danger",4.0
Meiosis is a type of what that can produce sperm?,Meiosis is the type of cell division that can produce sperm,4.0
What organism can adapt to cold temperatures?,Sasquatches adapt to cold temperatures.,4.0
What does an adult sponge have?,Adult sponges have polyps.,4.0
What does aggression cause?,territorial aggression causes harm,4.0
Trees have woody stems covered with what?,Trees have woody stems covered with protective skin.,4.0
What has a negative impact on the body?,disease-causing microorganisms have a negative impact on the body,4.0
what does bottled water have none of?,bottled water has no harmful substances,4.0
What process can help heat up a stove?,A stove can be heated by a metabolic reaction.,4.0
How do living things have children?,Living things use reproduction to have children.,4.0
A greenhouse is used to protect angiosperms how?,A greenhouse is used to protect angiosperms by keeping them warm,4.0
what make pituitary hormones?,organs make pituitary hormones,4.0
During what time frame do deciduous trees' leaves change color?,Deciduous trees have leaves that change color when summer fades.,4.0
