question,sentence,sia_score
Which is likely to have a continuous path of electricity while in use?,an iPhone,4.0
"During photosynthesis, plants produce sugar that may help with their what?",sustenance,4.0
When liquid that was sucked out of the ground by flora moves is moved to the air this is called,transpiration,4.0
The further a ship sails away from a light house,the less they will be guided by it's beam,4.0
Marble is unable to form while lava,is still hot,4.0
What does water taste like after a substance is dissolved in it?,similar to object,4.0
Lava on the ocean floor may build up upon itself. This is where,lone land mass develops,4.0
A dog's ears may be as thin as its,father's,4.0
Heat energy may be added to this in order to cook it.,cupcake batter,4.0
Humans moving into an environment usually causes native species to lose their what?,housing situation,4.0
"wildfire that is passed through the tree tops are dangerous, why?",it changes at the tip of a hat,4.0
A dry bush may burst into flames due to,higher temps,4.0
Where are you likely to find a nonrenewable resource?,a mine,4.0
"if a tree stands firm during a windy day, which of these could be holding it in place?",the roots in the ground,4.0
A river rushes and pebbles are smacked around one another until,they are velvety,4.0
The world is starting to use oil less and less because it is unable to,be used multiple times,4.0
Sedimentary rock may be a result of,old silt,4.0
"If a thing is residing in a hollowed out part of a tree, then it is probably",a scavenger,4.0
An ivory page will be able to,reflect all light,4.0
A bush that has water being moved around inside is doing so due to,xylem,4.0
You would use a seismometer if,A mysterious rumble off the coast of Japan,4.0
A desert environment can support,insects,4.0
It's easier to spot something small twenty feet away on a cloudless day if,the object is a polished metal ring,4.0
A waste product of human respiration,is a vital resource to daffodils,4.0
"If soil is loose, it makes it what for oxygen to get in?",simpler,4.0
A live copper wire is touched to anther copper wire end to end,a current can reach further,4.0
If a reptile were taken to the iceland it would,die,4.0
"If pollution is caused by many things, it is least likely to be caused by",pedaling forward,4.0
Cameras,can take snapshots of friends wearing snapbacks,4.0
"if a driver drove by a corn field and tossed out his lit cigarette, what could happen?",the corn would experience conflagration,4.0
As an individual is forced to pedal harder on a bicycle their pulse rate,increases,4.0
You can bake cookies with the sun using,aluminium foil,4.0
To warm yourself up on a chilly day,rub your palms together,4.0
Which of these objects would attract a magnet?,a door handle,4.0
"If an entity in intergalactic space has thrust placed upon it, what is the expected result?",it will start moving with acceleration,4.0
If an object is close then how will that object appear?,gigantic,4.0
In order to see water evaporate you could,make pasta,4.0
What would a polecat leave in a chair?,hair,4.0
"When a creature experiences feeling, they are likely",sensing a thing's texture,4.0
Herbivores like to dine on,chlorophyll,4.0
"if two students with identical genes grow at a different pace, what could be responsible?",they might have different diets,4.0
What requires photosynthesis to grow?,local flora,4.0
Sticking your hand in water above 100 degrees Celsius,will lead to scalded fingers,4.0
Ways to reuse paper could be,use as window cleaner,4.0
If an island is experiencing a hot summer it is because,of the axis,4.0
A person wants to take a a mode of transportation out that has two wheels so they will need to,cycle,4.0
As Ethanol burns it expels what into the ozone,CO2,4.0
The arctic environment mostly reflects all colors from the closest star because,it's covered in white precipitation,4.0
"Tungsten is a metal which is found in large amounts in filaments, which are used in incandescent light bulbs. These light bulbs work because",the filament glows warmly,4.0
"Shelter is one of the basic human needs along with food, water, and",companionship,4.0
What causes direct damage to the lungs?,consuming ignited tobacco,4.0
"If a creature is looking for things but is using something other than its eyes or nose, then it is likely",echolocating,4.0
"A woman leaves some meat on the counter, and bacteria begins to quickly grow on the surface. This bacteria may cause",turned food,4.0
Why is it dangerous for an animal to be kept boxed up in an area without air circulation?,it might get overheated,4.0
Which is most likely to occur?,a female fly lays eggs while it is an adult,4.0
What is the source of cooling that turns lava into land?,seawater,4.0
Which of these is a side effect of vegetable farming?,fertilizer sickness,4.0
What does a beaver use to find something to munch on with?,sense organs,4.0
Where would sponges most likely be found making their home?,a rotting ship,4.0
What is used by the gas given off by plants?,the respiratory system,4.0
A komodo dragon's body temperature would be highest if immersed in,lava,4.0
What will reflect more light?,a yellow shirt,4.0
An animal living in an environment lacking in food resources,will be in poor shape,4.0
A way in which humans may cause pollution to the environment is,using bug killer on crops,4.0
A construction team is building a business center where a park used to be. The change in the park will,cause animals to suffer,4.0
"When the availability of food sources increase in an environment, what will also increase?",Animals/Plants,4.0
The wolf raises his family near a,den,4.0
Decomposition,adds to the components needed to sustain life in the soil,4.0
A thing that is near a running wood stove will discover when touching the stove,that it will sear,4.0
mechanical weathering is breaking down what by mechanical means?,boulders,4.0
"When pollution levels get higher, the gas in the atmosphere",raises temps,4.0
"If a room is going to be humid, or dry, depends on how much water vapor is in the air, so if a room wants to be humid",run a bath,4.0
Plants derive what from soil?,life sustaining substances,4.0
"Water, while a finite resource, is renewable because",water is quite cyclical,4.0
A bat may use echolocation to,track a moth,4.0
Which phenomenon is studied about once annually?,geese travelling,4.0
A planet that revolves around a star is exposed to what?,solar rays,4.0
"As the flower size increases, what will it attract more of?",monarchs,4.0
raccoons eat what?,debris,4.0
An iron horseshoe with red stripes is held over a paperclip and,yanks it,4.0
